name,email,website
LE MÉRIDIEN BARCELONA,Reservas.barcelona@lemeridien.com,www.lemeridienbarcelona.com
MAJESTIC HOTEL & SPA BARCELONA,info@hotelmajestic.es,www.hotelmajestic.es
"MANDARIN ORIENTAL, BARCELONA",mobcn-reservations@mohg.com,www.mandarinoriental.com/barcelona
MERCER HOTEL BARCELONA,info@mercerbarcelona.com,www.mercerbarcelona.com
MONUMENT HOTEL,info@monument-hotel.com,www.monument-hotel.com
SERRAS BARCELONA,reservations@hoteltheserras.com,serrashotel.com
SOFIA BARCELONA,booking@sofiabarcelona.com,www.sofiabarcelona.com
SONDER DO,barcelona@sonder.com,www.sonder.com
THE BARCELONA EDITION,info.bcn@editionhotels.com,www.editionhotels.com
THE ONE BARCELONA,info.hto@hotelstheone.com,www.theonebarcelona.com
W BARCELONA,whateverwhenever.wbarcelona@whotels.com,www.w-barcelona.es
WITTMORE HOTEL,info@thewittmore.com,www.thewittmore.com
BAGUÉS,bagues@derbyhotels.com,www.hotelbagues.com
COTTON HOUSE HOTEL,info@hotelcottonhouse.com,www.hotelcottonhouse.com
GRAND HOTEL CENTRAL BARCELONA,info@grandhotelcentral.com,www.grandhotelcentral.com
HOTEL NERI RELAIS & CHÂTEAUX,info@hotelneri.com,www.hotelneri.com
HYATT REGENCY BARCELONA TOWER,barcelonatower.regency@hyatt.com,hyattregencybarcelonatower.com
INTERCONTINENTAL BARCELONA,reservations@icbarcelona.com,www.barcelona.intercontinental.com
KIMPTON VIVIDORA HOTEL,sales@kimptonvividorahotel.com,www.kimptonvividorahotel.com/us/en/
ME BARCELONA,mebarcelona@melia.com,www.melia.com/es/hoteles/espana/barcelona/
MELIÁ BARCELONA SARRIÀ,melia.barcelona.sarria@melia.com,www.melia.com/es/hoteles/espana/barcelona/melia-barcelona-sarria/index.html
NH COLLECTION BARCELONA GRAN HOTEL CALDERÓN,nhcollectionghcalderon@nh-hotels.com,www.nh-hoteles.es/hotel/nh-collection-barcelona-gran-hotel-calderon
NOBU BARCELONA,consultas-barcelona@nobuhotels.com,barcelona.nobuhotels.com/ca/
OCEAN DRIVE BARCELONA,odbarcelona@od-hotels.com,www.odbarcelona.com
OHLA BARCELONA,info@ohlahotel.com,www.ohlahotel.com
OHLA EIXAMPLE,info@ohlaeixample.com,www.ohlaeixample.com
PRIMERO PRIMERA,hotel@primeroprimera.com,www.primeroprimera.com/
RENAISSANCE BARCELONA HOTEL,rhi.bcndm.info@renhotels.com,www.renaissancebarcelonahotel.com
SIR VICTOR,reservations@sirvictorhotel.com,www.sirhotels.com/en/
SOFITEL BARCELONA SKIPPER,H7341@accor.com,www.pullman-barcelona-skipper.com/es/
SOHO HOUSE BARCELONA,info.barcelona@sohohouse.com,www.sohohouse.com
THE LEVEL at MELIÁ BARCELONA SKY,thelevel.sky@melia.com,www.melia.com/es/hoteles/espana/barcelona/the-level-at-melia-barcelona-sky/index.html
1898,1898@nnhotels.com,www.hotel1898.com/es/
"ALEXANDRA BARCELONA HOTEL, CURIO COLLECTION BY HILTON",contact@hotel-alexandra.com,www.hotel-alexandra.com
CATALONIA PASSEIG DE GRÀCIA,passeigdegracia@hoteles-catalonia.es,www.cataloniahotels.com/es/hotel/catalonia-passeig-de-gracia
CATALONIA RAMBLAS,ramblas@cataloniahotels.com,www.cataloniahotels.com/es/hotel/catalonia-ramblas
CATALONIA SQUARE,square@cataloniahotels.com,www.cataloniahotels.com/es
DUQUESA DE CARDONA,info@hduquesadecardona.com,www.hduquesadecardona.com
GALLERY HOTEL,galleryhotel@galleryhoteles.com,www.galleryhotel.com
GRAN HOTEL HAVANA,recepcion@granhotelhavana.com,www.granhotelhavana.com
GRANADOS 83,granados83@derbyhotels.com,www.hotelgranados83.com
GUITART GRAND PASSAGE,rggp@guitarthotels.com,www.guitarthotels.com/es/hoteles-barcelona-centro/guitart-grand-passage
H10 ART GALLERY,h10.art.gallery@h10hotels.com,www.hotelh10artgallery.com
H10 CASA MIMOSA,H10.casa.mimosa@h10hotels.com,www.hotelh10casamimosa.com
H10 CUBIK,h10.cubik@h10hotels.com,www.hotelh10cubik.com
H10 MADISON,H10.madison@h10hotels.com,www.hotelh10madison.com
H10 METROPOLITAN,comercial.hme@h10hotels.com,www.hotelh10metropolitan.com
H10 PORT VELL,reservas.hpv@h10hotels.com,www.hotelh10portvell.com
HILTON BARCELONA,guest@hiltonbarcelona.com,www.barcelona.hilton.com
HOTEL PORTA FIRA,hotelportafira@h-santos.es,www.hotelbarcelonaportafira.com
HOTEL SB DIAGONAL ZERO BARCELONA,hoteldiagonalzero@sbhotels.es,www.hoteldiagonalzero.com
HOTEL SB GLOW,glow@sbhotels.es,www.hotelsbglow.com
IBEROSTAR SELECTION PASEO DE GRACIA,paseo.de.gracia@iberostar.com,www.iberostar.com/hoteles/barcelona/iberostar-paseo-de-gracia
MELIÁ BARCELONA SKY,melia.sky@melia.com,www.melia.com/es/hoteles/espana/barcelona/melia-barcelona-sky
NEGRESCO PRINCESS,reservas.negresco@princess-hotels.com,www.hotelnegrescoprincess.com
OFELIAS HOTEL BARCELONA,ofeliashotel@bondiahotels.com,www.ofeliashotelbarcelona.com
OLIVIA BALMES,recepcion.balmes@oliviahotels.es,www.oliviabalmeshotel.com/es/
PAXTON BARCELONA,reservations@paxton-bcn.com,paxton-bcn.com/es/
PULITZER BARCELONA,info@hotelpulitzer.es,www.hotelpulitzer.es
RENAISSANCE BARCELONA FIRA HOTEL,fira.recepcion2@cataloniahotels.com,www.renaissancebarcelonafira.com
SEVENTY BARCELONA,seventybarcelona@nnhotels.com,www.seventybarcelona.com
THE MIRROR BARCELONA,info@themirrorbarcelona.com,www.themirrorbarcelona.com/ca
TWO HOTEL BARCELONA BY AXEL,twobarcelona@axelhotels.com,www.axelhotels.com
YURBBAN PASSAGE HOTEL & SPA,passage@yurbban.com,www.yurbban.com
4 BARCELONA,hotel4barcelona@besthotels.es,www.hotel4barcelona.com
ABBA BALMORAL,balmoral@abbahoteles.com,www.abbabalmoralhotelbarcelona.com
ABBA GARDEN HOTEL,garden@abbahoteles.com,www.abbagardenhotel.com
ABBA SANTS,abba-sants@abbahoteles.com,www.abbahoteles.com
AC HOTEL BARCELONA FORUM,recepction.BarcelonaForum@acmarriott.com,www.hotelacbarcelona.com/
AC HOTEL DIAGONAL L'ILLA,acdiagonalilla@ac-hotels.com,www.ac-hotels.com/BCNDL
AC HOTEL SOM by MARRIOTT,acsom@ac-hotels.com,www.hotelacsom.com
AC SANTS,direc.acsants@ac-hotels.com,www.hotelacsants.com
ACEVI VILLARROEL,villarroel@acevihotels.com,www.acevihotels.com
ACTA ATRIUM PALACE,recepcion.atrium@actahotels.com,www.hotel-atriumpalace.com
ACTA CITY47,recepcion.city@actahotels.com,www.hotel-city47.com
ALIMARA BARCELONA HOTEL,alimarahotel@cett.cat,www.alimarahotel.com
AMERICA BARCELONA,america@hotelamericabarcelona.com,www.hotelamericabarcelona.com
ARENAS ATIRAM HOTELS,hotelarenas@atiramhotels.com,www.arenasatiramhotels.com
ATTICA21 BARCELONA MAR,info.bcnmar@attica21hotels.com,www.bcnmar.attica21hotels.com/
AXEL HOTEL BARCELONA & URBAN SPA,barcelona@axelhotels.com,www.axelhotels.com
BAH BARCELONA AIRPORT HOTEL,,
BALMES,balmes@derbyhotels.com,www.hotelbalmes.com/
BARCELONA AEROPUERTO AFFILIATED BY MELIÀ,Barcelona.aeropuerto@melia.com,www.solmelia.com
BARCELONA CATEDRAL,hotel@barcelonacatedral.com,www.barcelonacatedral.com
BARCELONA CENTER,barcelona@hotelescenter.com,www.hotelescenter.es/hotel-barcelona-center/
BARCELONA COLONIAL,colonial@gargallohotels.es,www.gargallohotels.es
BARCELONA GRAN VIA PLAZA ESPAÑA,reception@indigobarcelonaplazaespana.com,www.ihg.com/spnd/hotels/us/es/barcelona/bcndg/hoteldetail
BARCELONA PRINCESS,bcn.reservas@princess-hotels.com,www.hotelbarcelonaprincess.com
BARCELONA UNIVERSAL,bcnuniversal@nnhotels.es,www.hotelbarcelonauniversal.com
BCN URBANESS HOTELS GRAN ROSELLON,reservas@bcnurbangranrosellon.es,www.bcnurbangranrosellon.es
BEL AIR HOTEL,belair@grup-soteras.com,www.grup-soteras.com
BEST FRONT MARÍTIM,frontmaritim@besthotels.es,www.hotelfrontmaritim.com
BEST WESTERN PLUS HOTEL ALFA AEROPUERTO,reservas@hotelalfaaeropuerto.com,www.hotelalfaaeropuerto.com
BEST WESTERN PREMIER HOTEL DANTE,direccion@hoteldante.es,www.bestwestern.com/content/best-western/es_ES/booking-path/hotel-details.92097.html?propertyCode=92097
BRUMMELL,hola@hotelbrummell.com,www.hotelbrummell.com
CASA BONAY,hola@casabonay.com,www.casabonay.com
CATALONIA ATENAS,atenas@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA BARCELONA 505,barcelona505@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA BARCELONA PLAZA,plaza@hoteles-catalonia.es,www.hoteles-catalonia.com
CATALONIA BORN,born@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA CATEDRAL,catedral@cataloniahotels.com,www.cataloniahotels.com
CATALONIA DIAGONAL CENTRO,diagonalcentro.reservas@hoteles-catalonia.es,www.hoteles-catalonia.com
CATALONIA EIXAMPLE 1864,eixample1864@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA GRACIA,gracia.reservas@cataloniahotels.com,wwww.hoteles-catalonia.com
CATALONIA GRAN VIA BCN,booking@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA PLAÇA CATALUNYA,catalunya@hoteles-catalonia.es,www.hoteles-catalonia.com
CATALONIA PORT,port@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA RIGOLETTO,rigoletto@cataloniahotels.com,www.cataloniahotels.com/es
CIUTADELLA BARCELONA,ciutadella@gargallohotels.es,www.gargallohotels.es
COLÓN,info@hotelcolon.es,www.hotelcolonbarcelona.es
CONDES DE BARCELONA,reservas@condesdebarcelona.com,www.condesdebarcelona.com
CRAM,info@hotelcram.com,www.hotelcram.com
DERBY,derby@derbyhotels.com,www.hotelderby.com
EL AVENIDA PALACE,info@avenidapalace.com,www.avenidapalace.com
EUROSTARS MONUMENTAL,direccion@eurostarsmonumental.com,www.eurostarshotels.com
EVENIA ROSSELLÓ,hba.rec@eveniahotels.com,es.eveniahotels.com/ciudad/barcelona/evenia-rossello
EXE CRISTAL PALACE,comercial@eurostarscristalpalace.com,www.exehotels.com/exe-cristal-palace.html
EXE LAIETANA PALACE,reservas@exelaietanapalace.com,www.exelaietanapalace.com
EXPO HOTEL BARCELONA,bookingbcn@expohotels.com,expohotelbarcelona.expohotels.com/
